Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
Air Quality,GA-GRAANK,0.34,990.2373886108398,77.8,2,"[0.35, 0.34]","[['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S4(NO2)+']]"
Air Quality,PRS-GRAANK,0.38,157.7598521709442,46.5,2,"[0.38, 0.457]","[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NOx(GT)+', 'NO2(GT)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S5(O3)+']]"
Air Quality,PSO-GRAANK,0.38,985.3718817234039,70.2,4,"[0.484, 0.479, 0.38, 0.392]","[['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'PT08.S3(NOx)-', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NOx(GT)+', 'NO2(GT)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NO2(GT)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+']]"
Air Quality,GA-GRAANK,0.38,912.7089807987213,75.2,1,[0.604],"[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S5(O3)+']]"
Air Quality,PRS-GRAANK,0.4,181.98650860786438,47.3,2,"[0.556, 0.439]","[['CO(GT)+', 'C6H6(GT)+', 'NOx(GT)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S5(O3)+']]"
Air Quality,PSO-GRAANK,0.4,983.4108748435974,66.8,2,"[0.507, 0.439]","[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'PT08.S3(NOx)-', 'NO2(GT)+', 'PT08.S5(O3)+']]"
Air Quality,GA-GRAANK,0.4,939.8084533214569,75.7,3,"[0.649, 0.547, 0.478]","[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S4(NO2)+', 'PT08.S5(O3)+']]"
Air Quality,PRS-GRAANK,0.5,137.34820103645325,46.3,3,"[0.525, 0.509, 0.502]","[['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S4(NO2)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S3(NOx)-', 'NO2(GT)+']]"
Air Quality,PSO-GRAANK,0.5,954.8257839679718,67.0,5,"[0.546, 0.502, 0.604, 0.554, 0.507]","[['CO(GT)+', 'PT08.S1(CO)+', 'NOx(GT)+', 'NO2(GT)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S3(NOx)-', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+']]"
Air Quality,GA-GRAANK,0.5,958.2101616859436,73.6,4,"[0.528, 0.507, 0.507, 0.51]","[['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NOx(GT)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'NOx(GT)+', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+', 'NO2(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NO2(GT)+', 'PT08.S5(O3)+']]"
